id,category,desiredFile,currentImageUrl,question,wikimediaUrl,license,author,source
Q0107,"Genel Kültür","genel_kultur_q0107.jpg","assets/images/questions/geography_cappadocia.jpg","Hangi UNESCO Dünya Mirası alanı Türkiye'de bulunur ve 'peri bacaları' ile ünlüdür?",,,,
Q0173,"Bilim","bilim_q0173.jpg","assets/images/questions/bilim_q0173.jpg","Atomun merkezi çekirdeğinde protonlar ve nötronlar bulunur.",,,,
Q0174,"Bilim","bilim_q0174.jpg","assets/images/questions/science_q0174.jpg","Bu görseldeki gezegen Jüpiter'dir.",,,,
Q0175,"Bilim","bilim_q0175.jpg","assets/images/questions/science_q0175.jpg","Bu görseldeki gezegen Mars'tır.",,,,
Q0176,"Bilim","bilim_q0176.jpg","assets/images/questions/bilim_q0176.jpg","Görseldeki hayvan bir memeli türüdür.",,,,
Q0177,"Bilim","bilim_q0177.jpg","assets/images/questions/science_q0177.jpg","İnsan vücudunda en büyük organ deridir.",,,,
Q0178,"Bilim","bilim_q0178.jpg","assets/images/questions/science_q0178.jpg","İnsan DNA'sı yaklaşık olarak %99 oranında şempanzelerle aynıdır.",,,,
Q0179,"Bilim","bilim_q0179.jpg","assets/images/questions/science_magnetic_pole.jpg","Dünya'nın manyetik kuzey kutbu, coğrafi kuzey kutbuyla tam olarak aynı noktadadır.",,,,
Q0180,"Bilim","bilim_q0180.jpg","assets/images/questions/bilim_q0180.jpg","İnsan vücudundaki en güçlü kas, çene kasıdır.",,,,
Q0181,"Bilim","bilim_q0181.jpg","assets/images/questions/science_spiders.jpg","Tüm örümcekler zehirlidir.",,,,
Q0182,"Bilim","bilim_q0182.jpg","assets/images/questions/science_blue_whale.jpg","Mavi balinaların kalbi o kadar büyüktür ki bir insan damarları içinde yüzebilir.",,,,
Q0183,"Bilim","bilim_q0183.jpg","assets/images/questions/bilim_q0183_fixed.jpg","Uzayda ateş yanmaz.",,,,
Q0184,"Bilim","bilim_q0184.jpg","assets/images/questions/science_earth_core.jpg","Dünya'nın çekirdeği katı haldedir.",,,,
Q0185,"Bilim","bilim_q0185.jpg","assets/images/questions/bilim_q0185.jpg","Köpekbalıkları kanser olmaz.",,,,
Q0186,"Bilim","bilim_q0186.jpg","assets/images/questions/science_light_speed.jpg","Işık, sesten daha hızlı hareket eder.",,,,
Q0187,"Bilim","bilim_q0187.jpg","assets/images/questions/science_venus_rotation.jpg","Venüs, Güneş'in etrafında saat yönünün tersine döner.",,,,
Q0188,"Bilim","bilim_q0188.jpg","assets/images/questions/science_bats.jpg","Yarasalar gerçekte kördür.",,,,
Q0189,"Bilim","bilim_q0189.jpg","assets/images/questions/science_q0189.jpg","İnsan beyni uyurken daha aktiftir.",,,,
Q0190,"Bilim","bilim_q0190.jpg","assets/images/questions/science_q0190.jpg","Devekuşlar, tehlike anında başlarını kuma gömerler.",,,,
Q1148,"Bilim","bilim_q1148.jpg","assets/images/questions/science_earth_core.jpg","Dünya'nın çekirdeği demir ve nikelden oluşur.",,,,
Q1149,"Bilim","bilim_q1149.jpg","assets/images/questions/science_saturn_moons.jpg","Satürn gezegeninin en çok uydusu vardır.",,,,
Q1150,"Bilim","bilim_q1150.jpg","assets/images/questions/science_vitamin_d_sun.jpg","Vitamin D güneş ışığı ile üretilir.",,,,
Q0265,"Teknoloji","teknoloji_q0265.jpg","assets/images/questions/teknoloji_q0265_fixed.jpg","Bu görseldeki ilk iPhone modelidir.",,,,
Q0266,"Teknoloji","teknoloji_q0266.jpg","assets/images/questions/teknoloji_q0266.jpg","Bu görseldeki, Windows işletim sisteminin ilk sürümüdür.",,,,
Q0267,"Teknoloji","teknoloji_q0267.jpg","assets/images/questions/technology_apple_ii.jpg","Ki, ilk kişisel bilgisayarlardan biri olan Apple II modelidir.",,,,
Q0268,"Teknoloji","teknoloji_q0268.jpg","assets/images/questions/teknoloji_q0268.jpg","Ki, Microsoft'un ürettiği bir bilgisayardır.",,,,
Q0269,"Teknoloji","teknoloji_q0269.jpg","assets/images/questions/teknoloji_q0269.jpg","PNG dosya formatı, sıkıştırma için kullanılmayan bir format türüdür.",,,,
Q0270,"Teknoloji","teknoloji_q0270.jpg","assets/images/questions/teknoloji_q0270_fixed.jpg","HTML, bir programlama dilidir.",,,,
Q0271,"Teknoloji","teknoloji_q0271.jpg","assets/images/questions/teknoloji_q0271.jpg","Python programlama dili, adını bir yılan türünden almıştır.",,,,
Q0272,"Teknoloji","teknoloji_q0272.jpg","assets/images/questions/teknoloji_q0272.jpg","Yapay zeka, sadece son 10 yılda ortaya çıkan yeni bir teknolojidir.",,,,
Q0273,"Teknoloji","teknoloji_q0273.jpg","assets/images/questions/technology_wifi.jpg","WiFi terimindeki 'Wi' sözcüğünün açılımı 'Wireless'tır.",,,,
Q0274,"Teknoloji","teknoloji_q0274.jpg","assets/images/questions/technology_blockchain.jpg","Blockchain teknolojisi, sadece kripto paralar için kullanılır.",,,,
Q0275,"Teknoloji","teknoloji_q0275.jpg","assets/images/questions/teknoloji_q0275.jpg","RAM (Random Access Memory), bilgisayarlar kapatıldıktan sonra verileri koruyabilen bir hafıza türüdür.",,,,
Q0276,"Teknoloji","teknoloji_q0276.jpg","assets/images/questions/teknoloji_q0276.jpg","Google'ın kuruluş tarihi 1998'dir.",,,,
Q0277,"Teknoloji","teknoloji_q0277.jpg","assets/images/questions/teknoloji_q0277_fixed.jpg","SSD'ler (Solid State Drive), HDD'lere (Hard Disk Drive) göre daha hızlıdır.",,,,
Q0278,"Teknoloji","teknoloji_q0278.jpg","assets/images/questions/technology_hard_disk.jpg","İlk 1 GB kapasiteli sabit disk 1980'de piyasaya sürülmüştür.",,,,
Q0279,"Teknoloji","teknoloji_q0279.jpg","assets/images/questions/technology_https.jpg","HTTPS protokolü, HTTP'ye göre daha güvenlidir.",,,,
Q0280,"Teknoloji","teknoloji_q0280.jpg","assets/images/questions/teknoloji_q0280.jpg","Android işletim sistemi, Apple tarafından geliştirilmiştir.",,,,
Q0281,"Teknoloji","teknoloji_q0281.jpg","assets/images/questions/technology_keyboard.jpg","Klavyelerde F tuşları, işlevsel (function) tuşlar anlamına gelir.",,,,
Q0282,"Teknoloji","teknoloji_q0282.jpg","assets/images/questions/teknoloji_q0282.jpg","Adobe Photoshop, bir video düzenleme yazılımıdır.",,,,
Q0283,"Teknoloji","teknoloji_q0283.jpg","assets/images/questions/teknoloji_q0283.jpg","URL'deki 'WWW' ifadesi, web sitelerinin çalışması için zorunlu bir bileşendir.",,,,
Q0284,"Teknoloji","teknoloji_q0284.jpg","assets/images/questions/teknoloji_q0284.jpg","İlk cep telefonu 1990'larda icat edilmiştir.",,,,
Q1153,"Teknoloji","teknoloji_q1153.jpg","assets/images/questions/tech_internet_1991.jpg","İnternet 1991 yılında halka açık hale gelmiştir.",,,,
Q1154,"Teknoloji","teknoloji_q1154.jpg","assets/images/questions/tech_computer_virus.jpg","İlk bilgisayar virüsü 1980'de ortaya çıkmıştır.",,,,
Q0352,"Spor","spor_q0352.jpg","assets/images/questions/spor_q0352.jpg","Bu görseldeki stadyum, Camp Nou'dur ve FC Barcelona'nın ev sahibi stadyumudur.",,,,
Q0353,"Spor","spor_q0353.jpg","assets/images/questions/spor_q0353.jpg","Bu kişi, Cristiano Ronaldo'dur.",,,,
Q0354,"Spor","spor_q0354.jpg","assets/images/questions/spor_q0354.jpg","Bu stadyum Beşiktaş'ın Vodafone Park stadyumudur.",,,,
Q0355,"Spor","spor_q0355.jpg","assets/images/questions/spor_q0355.jpg","Bu görseldeki kişi, Galatasaray'ın en ünlü futbolcularından Metin Oktay'dır.",,,,
Q0356,"Spor","spor_q0356.jpg","assets/images/questions/spor_q0356.jpg","Bu görselde, bir basketbol sahası görülmektedir.",,,,
Q0357,"Spor","spor_q0357.jpg","assets/images/questions/sports_marathon.jpg","Bir maraton yarışı, 45 kilometre uzunluğunda bir parkurda koşulur.",,,,
Q0358,"Spor","spor_q0358.jpg","assets/images/questions/sports_nba.jpg","NBA, Avrupa Basketbol Ligi'nin kısaltmasıdır.",,,,
Q0359,"Spor","spor_q0359.jpg","assets/images/questions/sports_football_goalkeeper.jpg","Bir futbol maçında, kaleciler kendi ceza sahaları içinde topu elleri ile tutabilirler.",,,,
Q0360,"Spor","spor_q0360.jpg","assets/images/questions/sports_q0360_fixed.jpg","Formula 1 yarışlarında, bir yarış hafta sonunda en fazla puan alan sürücüye 25 puan verilir.",,,,
Q0361,"Spor","spor_q0361.jpg","assets/images/questions/sports_tennis.jpg","Tenis, 18. yüzyılda İngiltere'de ortaya çıkmış bir spordur.",,,,
Q0362,"Spor","spor_q0362.jpg","assets/images/questions/sports_q0362_fixed.jpg","Voleybol, Olimpiyat Oyunları programında yer alan bir spor değildir.",,,,
Q0363,"Spor","spor_q0363.jpg","assets/images/questions/sports_basketball_hoop.jpg","Bir basketbol potasının yerden yüksekliği 3.05 metredir.",,,,
Q0364,"Spor","spor_q0364.jpg","assets/images/questions/sports_fifa.jpg","FIFA, Uluslararası Futbol Federasyonları Birliği'nin kısaltmasıdır.",,,,
Q0365,"Spor","spor_q0365.jpg","assets/images/questions/sports_football_substitution.jpg","Bir futbol maçında, bir takım en fazla 5 oyuncu değişikliği yapabilir.",,,,
Q0366,"Spor","spor_q0366.jpg","assets/images/questions/spor_q0366.jpg","Yağlı güreş, Türkiye'nin geleneksel sporlarından biridir.",,,,
Q0367,"Spor","spor_q0367.jpg","assets/images/questions/sports_swimming.jpg","Bayanlar tenisinde, Grand Slam turnuvalarında 5 set üzerinden maç oynanır.",,,,
Q0369,"Spor","spor_q0369.jpg","assets/images/questions/sports_q0369_fixed.jpg","Su topu, sadece açık havuzlarda oynanan bir spordur.",,,,
Q0370,"Spor","spor_q0370.jpg","assets/images/questions/sports_athletics.jpg","Boks maçlarında yumruk atmak dışında tekme atmak da kurallara uygundur.",,,,
Q0371,"Spor","spor_q0371.jpg","assets/images/questions/sports_weightlifting.jpg","Halter, Olimpiyat Oyunları'nda yer alan en eski sporlardan biridir.",,,,
Q1151,"Spor","spor_q1151.jpg","assets/images/questions/sports_olympics.jpg","Olimpiyat Oyunları her 4 yılda bir düzenlenir.",,,,
Q1152,"Spor","spor_q1152.jpg","assets/images/questions/sports_football_penalty.jpg","Futbolda penaltı atışı 12 metreden atılır.",,,,
Q0445,"Tarih","tarih_q0445.jpg","assets/images/questions/tarih_specific_q0445.jpg","Bu fotoğrafta görülen kişi Mustafa Kemal Atatürk'tür.",,,,
Q0446,"Tarih","tarih_q0446.jpg","assets/images/questions/history_istanbul_conquest_improved.jpg","İstanbul'un fethinde büyük toplar kullanılmıştır.",,,,
Q0447,"Tarih","tarih_q0447.jpg","assets/images/questions/history_tbmm_first.jpg","TBMM'nin ilk binası görülmektedir.",,,,
Q0448,"Tarih","tarih_q0448.jpg","assets/images/questions/tarih_q0448.jpg","İstiklal Marşı'nın yazarı Yahya Kemal Beyatlı'dır.",,,,
Q0449,"Tarih","tarih_q0449.jpg","assets/images/questions/tarih_specific_q0449.jpg","Çanakkale Cephesi görülmektedir.",,,,
Q0450,"Tarih","tarih_q0450.jpg","assets/images/questions/history_republic_proclamation.jpg","Cumhuriyet 29 Ekim 1923'te ilan edilmiştir.",,,,
Q0451,"Tarih","tarih_q0451.jpg","assets/images/questions/tarih_specific_q0451.jpg","Bu görseldeki antik kent Efes'tir.",,,,
Q0452,"Tarih","tarih_q0452.jpg","assets/images/questions/tarih_specific_q0452.jpg","Türkiye Cumhuriyeti'nin ilk cumhurbaşkanı Mustafa Kemal Atatürk'tür.",,,,
Q0453,"Tarih","tarih_q0453.jpg","assets/images/questions/history_wwi.jpg","I. Dünya Savaşı 1914-1918 yılları arasında gerçekleşmiştir.",,,,
Q0454,"Tarih","tarih_q0454.jpg","assets/images/questions/tarih_specific_q0454.jpg","Osmanlı İmparatorluğu'nun kurucusu Osman Bey'dir.",,,,
Q0455,"Tarih","tarih_q0455.jpg","assets/images/questions/history_fatih_sultan.jpg","Fatih Sultan Mehmet, İstanbul'u fethettiğinde 21 yaşındaydı.",,,,
Q0456,"Tarih","tarih_q0456.jpg","assets/images/questions/history_independence_war_fixed.jpg","Kurtuluş Savaşı 1919-1922 yılları arasında gerçekleşmiştir.",,,,
Q0457,"Tarih","tarih_q0457.jpg","assets/images/questions/history_tbmm_opening.jpg","TBMM, 23 Nisan 1920'de açılmıştır.",,,,
Q0458,"Tarih","tarih_q0458.jpg","assets/images/questions/history_lausanne_treaty.jpg","Lozan Antlaşması 1923 yılında imzalanmıştır.",,,,
Q0459,"Tarih","tarih_q0459.jpg","assets/images/questions/tarih_q0459.jpg","Türkiye'de Latin alfabesine geçiş 1923 yılında olmuştur.",,,,
Q0460,"Tarih","tarih_q0460.jpg","assets/images/questions/history_alexander_great.jpg","Soğuk Savaş dönemi, II. Dünya Savaşı sonrası 1991 yılına kadar sürmüştür.",,,,
Q0461,"Tarih","tarih_q0461.jpg","assets/images/questions/tarih_specific_q0461.jpg","Kanuni Sultan Süleyman, Osmanlı'nın en uzun hüküm süren padişahıdır.",,,,
Q0462,"Tarih","tarih_q0462.jpg","assets/images/questions/tarih_q0462.jpg","Türkiye'de kadınlara seçme ve seçilme hakkı 1934 yılında verilmiştir.",,,,
Q0463,"Tarih","tarih_q0463.jpg","assets/images/questions/history_ww2.jpg","II. Dünya Savaşı 1939-1945 yılları arasında gerçekleşmiştir.",,,,
Q0464,"Tarih","tarih_q0464.jpg","assets/images/questions/history_berlin_wall.jpg","Malazgirt Savaşı 1071 yılında gerçekleşmiştir.",,,,
Q0465,"Tarih","tarih_q0465.jpg","assets/images/questions/tarih_specific_q0465.jpg","Çanakkale Savaşı I. Dünya Savaşı sırasında gerçekleşmiştir.",,,,
Q0466,"Tarih","tarih_q0466.jpg","assets/images/questions/tarih_specific_q0466.jpg","Atatürk'ün Samsun'a çıkış tarihi 19 Mayıs 1919'dur.",,,,
Q0467,"Tarih","tarih_q0467.jpg","assets/images/questions/history_renaissance.jpg","Sevr Antlaşması hiçbir zaman uygulanmamıştır.",,,,
Q0468,"Tarih","tarih_q0468.jpg","assets/images/questions/img_history_ancient_fixed.jpg","Berlin Duvarı 1989 yılında yıkılmıştır.",,,,
Q0541,"Coğrafya","cografya_q0541.jpg","assets/images/questions/geography_nile_river_corrected_fixed.jpg","Nil Nehri görülmektedir.",,,,
Q0542,"Coğrafya","cografya_q0542.jpg","assets/images/questions/cografya_q0542.jpg","Bu görselde hangi doğa harikası görülmektedir?",,,,
Q0543,"Coğrafya","cografya_q0543.jpg","assets/images/questions/cografya_q0543.jpg","Bu görselde hangi ülkenin bayrağı görülmektedir?",,,,
Q0545,"Coğrafya","cografya_q0545.jpg","assets/images/questions/cografya_q0545.jpg","Bu görselde Alaska bölgesi görülmektedir.",,,,
Q0546,"Coğrafya","cografya_q0546.jpg","assets/images/questions/geography_vesuvius.jpg","Vezüv Yanardağı görülmektedir.",,,,
Q0547,"Coğrafya","cografya_q0547.jpg","assets/images/questions/geography_istanbul_improved.jpg","İstanbul şehri görülmektedir.",,,,
Q0548,"Coğrafya","cografya_q0548.jpg","assets/images/questions/geography_cappadocia.jpg","Peri Bacaları Nevşehir'de bulunur.",,,,
Q0549,"Coğrafya","cografya_q0549.jpg","assets/images/questions/cografya_q0549_fixed.jpg","Bu görseldeki ülke Japonya'dır.",,,,
Q0550,"Coğrafya","cografya_q0550.jpg","assets/images/questions/geography_turkey_regions.jpg","Türkiye yedi farklı coğrafi bölgeye ayrılmıştır.",,,,
Q0551,"Coğrafya","cografya_q0551.jpg","assets/images/questions/geography_mount_ararat.jpg","Türkiye'nin en yüksek dağı Ağrı Dağı'dır.",,,,
Q0552,"Coğrafya","cografya_q0552.jpg","assets/images/questions/geography_mediterranean.jpg","Akdeniz, Türkiye'nin güneyinde yer alır.",,,,
Q0553,"Coğrafya","cografya_q0553.jpg","assets/images/questions/geography_black_sea.jpg","Karadeniz, Türkiye'nin kuzeyinde yer alır.",,,,
Q0554,"Coğrafya","cografya_q0554.jpg","assets/images/questions/geography_nile_longest_corrected_fixed.jpg","Nil Nehri, dünyanın en uzun nehridir.",,,,
Q0555,"Coğrafya","cografya_q0555.jpg","assets/images/questions/cografya_q0555.jpg","Amazon Nehri, dünyanın en geniş nehridir.",,,,
Q0556,"Coğrafya","cografya_q0556.jpg","assets/images/questions/geography_everest_improved.jpg","Everest, dünyanın en yüksek dağıdır.",,,,
Q0557,"Coğrafya","cografya_q0557.jpg","assets/images/questions/geography_sahara.jpg","Avustralya, hem bir kıta hem de bir ülkedir.",,,,
Q0558,"Coğrafya","cografya_q0558.jpg","assets/images/questions/geography_amazon.jpg","Sahara Çölü, dünyanın en büyük çölüdür.",,,,
Q0559,"Coğrafya","cografya_q0559.jpg","assets/images/questions/geography_mariana_trench.jpg","Mariana Çukuru, dünyanın en derin noktasıdır.",,,,
Q0560,"Coğrafya","cografya_q0560.jpg","assets/images/questions/geography_pacific_improved.jpg","Türkiye'nin komşu ülke sayısı sekizdir.",,,,
Q0564,"Coğrafya","cografya_q0564.jpg","assets/images/questions/geography_tuz_golu_corrected.jpg","Türkiye'nin en büyük gölü Tuz Gölü'dür.",,,,
Q0565,"Coğrafya","cografya_q0565.jpg","assets/images/questions/geography_aegean_improved.jpg","Pasifik Okyanusu, dünyanın en büyük okyanusudur.",,,,
Q0567,"Coğrafya","cografya_q0567.jpg","assets/images/questions/geography_russia_largest.jpg","Türkiye, 81 ilden oluşmaktadır.",,,,
Q0708,"Coğrafya","cografya_q0708.jpg","assets/images/questions/cografya_specific_q0708_fixed.jpg","Bu bayrak Türkiye'nin bayrağıdır.",,,,
Q0709,"Coğrafya","cografya_q0709.jpg","assets/images/questions/cografya_specific_q0709_fixed.jpg","Bu bayrak Almanya'nın bayrağıdır.",,,,
Q0710,"Coğrafya","cografya_q0710.jpg","assets/images/questions/cografya_specific_q0710.jpg","Bu bayrak Fransa'nın bayrağıdır.",,,,
Q0711,"Coğrafya","cografya_q0711.jpg","assets/images/questions/cografya_q0711.jpg","Bu bayrak İngiltere'nin bayrağıdır.",,,,
Q0712,"Coğrafya","cografya_q0712.jpg","assets/images/questions/cografya_q0712.jpg","Bu bayrak İtalya'nın bayrağıdır.",,,,
Q0713,"Coğrafya","cografya_q0713.jpg","assets/images/questions/cografya_q0713.jpg","Bu bayrak İspanya'nın bayrağıdır.",,,,
Q0714,"Coğrafya","cografya_q0714.jpg","assets/images/questions/cografya_specific_q0714.jpg","Bu bayrak Rusya'nın bayrağıdır.",,,,
Q0715,"Coğrafya","cografya_q0715.jpg","assets/images/questions/cografya_specific_q0715.jpg","Bu bayrak Çin'in bayrağıdır.",,,,
Q0716,"Coğrafya","cografya_q0716.jpg","assets/images/questions/cografya_specific_q0716.jpg","Bu bayrak Japonya'nın bayrağıdır.",,,,
Q0717,"Coğrafya","cografya_q0717.jpg","assets/images/questions/cografya_q0717.jpg","Bu bayrak Güney Kore'nin bayrağıdır.",,,,
Q0720,"Coğrafya","cografya_q0720.jpg","assets/images/questions/cografya_specific_q0720.jpg","Türkiye'nin başkenti Ankara'dır.",,,,
Q0721,"Coğrafya","cografya_q0721.jpg","assets/images/questions/cografya_specific_q0721.jpg","Fransa'nın başkenti Paris'tir.",,,,
Q0722,"Coğrafya","cografya_q0722.jpg","assets/images/questions/cografya_specific_q0722.jpg","İngiltere'nin başkenti Londra'dır.",,,,
Q0723,"Coğrafya","cografya_q0723.jpg","assets/images/questions/cografya_q0723.jpg","Almanya'nın başkenti Berlin'dir.",,,,
Q0724,"Coğrafya","cografya_q0724.jpg","assets/images/questions/cografya_specific_q0724.jpg","İtalya'nın başkenti Roma'dır.",,,,
Q0725,"Coğrafya","cografya_q0725.jpg","assets/images/questions/cografya_specific_q0725.jpg","İspanya'nın başkenti Madrid'dir.",,,,
Q0726,"Coğrafya","cografya_q0726.jpg","assets/images/questions/geography_moscow.jpg","Rusya'nın başkenti Moskova'dır.",,,,
Q0727,"Coğrafya","cografya_q0727.jpg","assets/images/questions/cografya_specific_q0727.jpg","Japonya'nın başkenti Tokyo'dur.",,,,
Q0728,"Coğrafya","cografya_q0728.jpg","assets/images/questions/cografya_q0728.jpg","Türkiye'nin başkenti İstanbul'dur.",,,,
Q0730,"Coğrafya","cografya_q0730.jpg","assets/images/questions/geography_toronto.jpg","Kanada'nın başkenti Toronto'dur.",,,,
Q0731,"Coğrafya","cografya_q0731.jpg","assets/images/questions/cografya_q0731.jpg","Avustralya'nın başkenti Sidney'dir.",,,,
Q0606,"Müzik","muzik_q0606.jpg","assets/images/questions/music_kanun.jpg","Kanun bir müzik aletidir.",,,,
Q0607,"Müzik","muzik_q0607.jpg","assets/images/questions/music_kemence.jpg","Kemençe bir müzik aletidir.",,,,
Q0608,"Müzik","muzik_q0608.jpg","assets/images/questions/music_pavarotti.jpg","Bu kişi dünyaca ünlü tenor Luciano Pavarotti'dir.",,,,
Q0609,"Müzik","muzik_q0609.jpg","assets/images/questions/muzik_q0609.jpg","Bu görseldeki kişi, ünlü besteci Wolfgang Amadeus Mozart'tır.",,,,
Q0610,"Müzik","muzik_q0610.jpg","assets/images/questions/music_baglama.jpg","Baglama/Saz bir müzik enstrümanıdır.",,,,
Q0611,"Müzik","muzik_q0611.jpg","assets/images/questions/music_guitar_fixed.jpg","Klasik bir gitarda standart olarak 7 tel vardır.",,,,
Q0612,"Müzik","muzik_q0612.jpg","assets/images/questions/muzik_q0612_fixed.jpg","Beethoven, hayatının son yıllarında tamamen sağır olmasına rağmen beste yapmaya devam etmiştir.",,,,
Q0613,"Müzik","muzik_q0613.jpg","assets/images/questions/music_piano.jpg","Piyano, yaylı çalgılar ailesine aittir.",,,,
Q0614,"Müzik","muzik_q0614.jpg","assets/images/questions/muzik_q0614_fixed.jpg","Johann Sebastian Bach, klasik dönem bestecisidir.",,,,
Q0615,"Müzik","muzik_q0615.jpg","assets/images/questions/muzik_q0615.jpg","Michael Jackson'ın 'Thriller' albümü, tüm zamanların en çok satan albümlerinden biridir.",,,,
Q0616,"Müzik","muzik_q0616.jpg","assets/images/questions/music_turkish_folk.jpg","Türk Halk Müziği'nde kullanılan temel enstrüman kemandır.",,,,
Q0617,"Müzik","muzik_q0617.jpg","assets/images/questions/music_soprano.jpg","Soprano, erkek ses sınıflandırmasıdır.",,,,
Q0618,"Müzik","muzik_q0618.jpg","assets/images/questions/music_beatles.jpg","The Beatles grubu 5 üyeden oluşmaktadır.",,,,
Q0619,"Müzik","muzik_q0619.jpg","assets/images/questions/music_kanun_strings.jpg","Kanun, Türk Müziği'nde kullanılan telli bir enstrümandır.",,,,
Q0620,"Müzik","muzik_q0620.jpg","assets/images/questions/music_violin.jpg","Opera sanatı İtalya'da doğmuştur.",,,,
Q0621,"Müzik","muzik_q0621.jpg","assets/images/questions/muzik_q0621_fixed.jpg","Beethoven'ın 'Ay Işığı Sonatı' olarak bilinen eseri, aslında Sonata No. 14'tür.",,,,
Q0622,"Müzik","muzik_q0622.jpg","assets/images/questions/img_music_instruments.jpg","Rap müziği 1970'lerde Amerika Birleşik Devletleri'nde ortaya çıkmıştır.",,,,
Q0623,"Müzik","muzik_q0623.jpg","assets/images/questions/img_music_instruments.jpg","Bir senfoninin standart uzunluğu 10 dakikadır.",,,,
Q0624,"Müzik","muzik_q0624.jpg","assets/images/questions/music_orchestra.jpg","Flüt, tahta üflemeli çalgılar grubunda yer alır.",,,,
Q0625,"Müzik","muzik_q0625.jpg","assets/images/questions/img_music_instruments.jpg","Ney, Türk Tasavvuf Müziği'nde kullanılan önemli bir enstrümandır.",,,,
Q1142,"Müzik","muzik_q1142.jpg","assets/images/questions/music_rock.jpg","Rock müziği Amerika'da doğmuştur.",,,,
Q1143,"Müzik","muzik_q1143.jpg","assets/images/questions/music_ney.jpg","Ney ahşaptan yapılır.",,,,
